ds,yhat,yhat_lower,yhat_upper
2014-01-03,1548.287992446285,-1150.3705177405716,4235.524145771965
2014-01-04,1053.0685594809406,-1712.607940505998,3663.1432310868317
2014-01-05,1144.803640700883,-1532.8200770179035,3869.1538588401936
2014-01-06,1270.094552075634,-1478.720530909179,4255.041486344005
2014-01-07,612.5913818987004,-2124.2501206032457,3327.768872174957
2014-01-09,822.7233586793211,-2045.3121385776478,3595.8851799078734
2014-01-10,1043.4921932386553,-1561.0534159033969,4062.455259179412
2014-01-11,613.4539233652413,-2194.755568550829,3218.798952617758
2014-01-13,973.1502834567391,-1850.840088613282,3919.0425861489884
2014-01-14,390.2112116034905,-2450.915194649354,3273.040490749091
2014-01-15,-467.72308515017767,-3389.9570313943723,2253.905428673266
2014-01-16,748.1845058915849,-2051.564051839283,3503.4880582674205
2014-01-18,674.7120500062096,-2057.1223720341163,3372.6984616420204
2014-01-19,895.9315482903337,-1867.617427680228,3494.9298359365134
2014-01-20,1146.681811128238,-1487.0176068188055,3777.441508522981
2014-01-21,607.9991882899067,-2136.8392011157484,3258.964884057992
2014-01-23,1026.1426156491773,-1599.0714175057594,3850.4799207894457
2014-01-26,1186.1578900385632,-1553.581423978719,4055.7933419494634
2014-01-27,1420.0110855248915,-1291.8656420824132,4058.0803703047095
2014-01-28,854.589716516995,-1803.8312595199093,3604.4797861301836
2014-01-30,1192.9702818964204,-1598.443065097352,4035.103072979797
2014-01-31,1447.749686878906,-1304.168314687071,4208.712601590458
2014-02-01,1030.9870222961176,-1730.9937120696072,3709.020947089519
2014-02-02,1185.133956953095,-1725.6321122398647,3804.9215809713787
2014-02-03,1355.9765541454615,-1310.6583192664289,4109.460121346812
2014-02-04,726.7447920923845,-1872.540097835766,3567.7642704556433
2014-02-06,941.9402250871547,-1675.0221888275726,3832.5513115846775
2014-02-07,1140.7030807712172,-1640.041756212986,3853.8884028447933
2014-02-08,673.7605892039148,-1921.8730044348142,3677.168664403371
2014-02-11,267.5950930503782,-2325.471000769634,3104.170309298556
2014-02-12,-668.1759266812837,-3565.532706574924,2203.7763720487133
2014-02-14,672.9491444055565,-2119.1761390081742,3539.5197657681433
2014-02-15,226.20757885268654,-2516.6587207794214,2783.1899348593624
2014-02-16,369.15266537650655,-2265.2612668430957,3017.874645506034
2014-02-17,548.4296769015627,-2060.755976667215,3519.463298135876
2014-02-18,-52.32150314253249,-2819.0906292640066,2718.0464188190595
2014-02-20,279.30626802937513,-2512.4538455121624,2957.965044381318
2014-02-21,564.5413675150874,-2213.587822664844,3216.6749221430828
2014-02-22,201.1884155659518,-2517.066978584132,2876.198626995902
2014-02-23,431.3420475173118,-2237.7976675384775,3104.4636163892856
2014-02-24,699.9097810917556,-2066.6851416332916,3482.230620176838
2014-02-27,693.1934835366582,-2067.307618754551,3475.3349679056173
2014-03-01,767.962050030021,-2093.9069585621232,3664.9117237115356
2014-03-02,1063.1624020155898,-1570.6974119102397,3719.2100430186424
2014-03-03,1387.3965807935401,-1317.7451130812558,4124.561017520139
2014-03-04,921.4196015312691,-1973.8886509888491,3758.9971822437383
2014-03-05,170.1974705743246,-2685.757426489171,2738.4307249872736
2014-03-07,1856.1606873061594,-865.3281201101387,4419.175301039457
